timestamp,open,high,low,close,volume
2019-02-15 16:00:00,208.7100,208.8800,208.6500,208.8500,100664
2019-02-15 15:59:00,208.5700,208.6900,208.5700,208.6900,25914
2019-02-15 15:58:00,208.5600,208.6000,208.5300,208.5300,13805
2019-02-15 15:57:00,208.5300,208.5900,208.4900,208.5900,16554
2019-02-15 15:56:00,208.4100,208.5100,208.4100,208.5100,16589
2019-02-15 15:55:00,208.2700,208.3700,208.2700,208.3700,10917
2019-02-15 15:54:00,208.2100,208.3000,208.2100,208.3000,10344
2019-02-15 15:53:00,208.2150,208.2200,208.2150,208.2200,6109
2019-02-15 15:52:00,208.2400,208.3800,208.2400,208.2600,12973
2019-02-15 15:51:00,208.4000,208.4000,208.2400,208.2400,10646
2019-02-15 15:50:00,208.3200,208.4300,208.3200,208.4200,10168
2019-02-15 15:49:00,208.3201,208.3700,208.3201,208.3700,9289
2019-02-15 15:48:00,208.4500,208.4500,208.3400,208.3400,6567
2019-02-15 15:47:00,208.4200,208.4800,208.4200,208.4800,8298
2019-02-15 15:46:00,208.3000,208.3850,208.2900,208.3850,16587
2019-02-15 15:45:00,208.1300,208.2300,208.1300,208.2300,7043
2019-02-15 15:44:00,208.2000,208.2000,208.0800,208.0900,7908
2019-02-15 15:43:00,208.0300,208.1800,208.0300,208.1800,7784
2019-02-15 15:42:00,207.9800,208.0100,207.9800,208.0100,9828
2019-02-15 15:41:00,207.9700,208.0150,207.9700,207.9800,4988
2019-02-15 15:40:00,207.9400,208.0000,207.9400,208.0000,6097
2019-02-15 15:39:00,207.8900,207.9100,207.8900,207.9100,10739
2019-02-15 15:38:00,207.8800,207.9000,207.8800,207.9000,2392
2019-02-15 15:37:00,207.8950,207.8950,207.8400,207.8600,5043
2019-02-15 15:36:00,207.8700,207.9200,207.8700,207.9050,7086
2019-02-15 15:35:00,207.8700,207.8800,207.8600,207.8800,3990
2019-02-15 15:34:00,207.8500,207.8900,207.8500,207.8900,4621
2019-02-15 15:33:00,207.7600,207.8800,207.7600,207.8800,4437
2019-02-15 15:32:00,207.7100,207.7400,207.7100,207.7400,4629
2019-02-15 15:31:00,207.7800,207.7800,207.7350,207.7350,2838
2019-02-15 15:30:00,207.7600,207.7900,207.7600,207.7900,2565
2019-02-15 15:29:00,207.8000,207.8100,207.7850,207.7900,8210
2019-02-15 15:28:00,207.7250,207.7500,207.7250,207.7500,2579
2019-02-15 15:27:00,207.7600,207.7600,207.7400,207.7400,3128
2019-02-15 15:26:00,207.6900,207.7600,207.6900,207.7600,3433
2019-02-15 15:25:00,207.6900,207.7200,207.6900,207.7200,2028
2019-02-15 15:24:00,207.6100,207.6800,207.6100,207.6800,6532
2019-02-15 15:23:00,207.5200,207.5900,207.5200,207.5900,2700
2019-02-15 15:22:00,207.5400,207.5400,207.5400,207.5400,809
2019-02-15 15:21:00,207.5500,207.5500,207.5400,207.5400,2530
2019-02-15 15:20:00,207.5000,207.5200,207.5000,207.5200,1777
2019-02-15 15:19:00,207.4450,207.4700,207.4450,207.4600,3042
2019-02-15 15:18:00,207.4700,207.4700,207.4700,207.4700,757
2019-02-15 15:17:00,207.5100,207.5100,207.4850,207.4850,1697
2019-02-15 15:16:00,207.7000,207.7000,207.5900,207.5900,4436
2019-02-15 15:15:00,207.6500,207.7100,207.6500,207.6900,4530
2019-02-15 15:14:00,207.6300,207.6300,207.6300,207.6300,1482
2019-02-15 15:13:00,207.7000,207.7000,207.6550,207.6550,4912
2019-02-15 15:12:00,207.7000,207.7400,207.7000,207.7400,4725
2019-02-15 15:11:00,207.7100,207.7100,207.7000,207.7000,1968
2019-02-15 15:10:00,207.7000,207.7100,207.7000,207.7100,1780
2019-02-15 15:09:00,207.7300,207.7399,207.7200,207.7399,2967
2019-02-15 15:08:00,207.7000,207.7000,207.7000,207.7000,1488
2019-02-15 15:07:00,207.7500,207.7500,207.7400,207.7400,1502
2019-02-15 15:06:00,207.7900,207.7900,207.7300,207.7300,2820
2019-02-15 15:05:00,207.7500,207.8000,207.7500,207.7600,4152
2019-02-15 15:04:00,207.7100,207.7250,207.7000,207.7000,3357
2019-02-15 15:03:00,207.7200,207.7200,207.7000,207.7000,2549
2019-02-15 15:02:00,207.7300,207.7300,207.7300,207.7300,1090
2019-02-15 15:01:00,207.6100,207.6700,207.6100,207.6700,10076
2019-02-15 15:00:00,207.5500,207.7000,207.5500,207.6200,7373
2019-02-15 14:59:00,207.5300,207.5300,207.5000,207.5000,1969
2019-02-15 14:58:00,207.5200,207.5200,207.4800,207.4800,1397
2019-02-15 14:57:00,207.5300,207.5400,207.5300,207.5400,2890
2019-02-15 14:56:00,207.6800,207.6800,207.6548,207.6548,1673
2019-02-15 14:55:00,207.6300,207.6400,207.6100,207.6400,3510
2019-02-15 14:54:00,207.6200,207.6400,207.6200,207.6400,2708
2019-02-15 14:53:00,207.6000,207.6000,207.5900,207.5900,2397
2019-02-15 14:52:00,207.6374,207.6374,207.6100,207.6100,2585
2019-02-15 14:51:00,207.6150,207.6600,207.6150,207.6300,5433
2019-02-15 14:50:00,207.6300,207.6300,207.6300,207.6300,836
2019-02-15 14:49:00,207.5960,207.5960,207.5960,207.5960,1712
2019-02-15 14:48:00,207.6100,207.6100,207.5640,207.5640,1758
2019-02-15 14:47:00,207.6200,207.6200,207.6200,207.6200,269
2019-02-15 14:46:00,207.6500,207.6500,207.6400,207.6400,2374
2019-02-15 14:45:00,207.6300,207.6300,207.6300,207.6300,3550
2019-02-15 14:44:00,207.6000,207.6000,207.6000,207.6000,1369
2019-02-15 14:43:00,207.6300,207.6300,207.6100,207.6100,2319
2019-02-15 14:42:00,207.5805,207.5805,207.5805,207.5805,675
2019-02-15 14:41:00,207.6000,207.6100,207.6000,207.6100,2191
