timestamp,open,high,low,close,volume
2019-02-15,152.0000,153.3200,151.5900,153.3200,3039428
2019-02-14,150.9300,151.6400,149.9602,150.5200,2110746
2019-02-13,150.9900,152.6800,150.6800,151.4800,2760130
2019-02-12,149.2000,150.5100,148.9600,150.3600,2655170
2019-02-11,148.9900,149.3200,148.0500,148.4800,2977816
2019-02-08,147.9800,148.6400,147.1900,148.6100,3952141
2019-02-07,147.6700,148.9000,147.2500,148.1500,2962010
2019-02-06,148.9900,149.4900,148.2886,148.9000,3147242
2019-02-05,148.4000,148.6900,147.4100,148.6900,2962876
2019-02-04,144.4800,148.0100,144.4400,147.9300,4692787
2019-02-01,148.7000,149.0000,144.3400,144.7100,5536461
2019-01-31,142.8000,144.0600,142.2500,143.6300,3473563
2019-01-30,142.4600,143.7500,140.9400,143.2800,3112772
2019-01-29,140.8500,142.2050,140.5000,141.7400,2424691
2019-01-28,140.3300,140.7900,138.8700,140.4800,3478329
2019-01-25,142.5000,142.7000,141.4200,141.7100,3207326
2019-01-24,140.8900,142.0000,140.4600,141.1800,2707213
2019-01-23,140.8200,141.2950,139.2300,140.7400,2966263
2019-01-22,140.9600,141.1500,138.7000,139.8200,3196454
2019-01-18,141.7800,142.5150,140.3600,141.8500,5421632
2019-01-17,137.3100,140.6300,137.1900,139.8800,2577361
2019-01-16,137.5200,138.7000,137.2500,138.0200,2247292
2019-01-15,137.4300,138.1500,136.5400,137.7700,1841881
2019-01-14,136.3400,138.0397,135.9800,137.6100,3100638
2019-01-11,136.7500,137.7500,136.4100,137.3600,1890355
2019-01-10,135.2200,137.9400,134.6700,137.7500,2149743
2019-01-09,136.2000,136.7400,135.0664,135.7200,1993192
2019-01-08,136.0600,136.8800,134.3200,135.0900,2636179
2019-01-07,134.3400,136.0000,133.1500,135.3700,2944574
2019-01-04,132.6200,135.0400,132.0475,134.6200,3583572
2019-01-03,132.1000,132.9800,129.0700,130.0700,3183974
2019-01-02,130.1900,132.0900,129.5000,131.8300,2756347
2018-12-31,131.5600,132.1600,130.4700,132.1200,2199898
2018-12-28,132.1200,133.0700,130.2500,130.7600,2759324
2018-12-27,127.6200,131.6300,126.8438,131.5700,3249638
2018-12-26,125.0200,129.6000,123.4800,129.5700,3440398
2018-12-24,128.6000,128.9900,124.6300,124.8300,2838791
2018-12-21,130.0100,132.4500,129.3300,129.4400,6903728
2018-12-20,132.7300,133.6200,129.3700,130.6700,4518936
