Date,Open,High,Low,Close,Volume
14-Jul-17,28.07,28.36,27.86,28.08,2891914
13-Jul-17,27.02,27.61,26.78,27.53,4336357
12-Jul-17,28.13,28.16,27.44,27.61,2600389
11-Jul-17,27.30,28.18,27.13,27.58,4873120
10-Jul-17,26.46,27.47,26.46,27.17,3920716
7-Jul-17,26.55,26.79,26.33,26.74,2552359
6-Jul-17,27.49,27.54,26.94,26.96,2873154
5-Jul-17,27.65,27.71,27.10,27.44,4274948
3-Jul-17,27.46,28.30,27.43,28.20,2028935
30-Jun-17,27.25,27.38,27.07,27.20,3591836
29-Jun-17,27.20,27.33,27.02,27.22,4316022
28-Jun-17,27.15,27.48,27.14,27.24,2756598
27-Jun-17,27.09,27.40,26.89,26.92,3725222
26-Jun-17,26.97,27.08,26.80,26.88,1888907
23-Jun-17,26.79,27.02,26.62,26.70,2317097
22-Jun-17,26.38,27.08,26.25,26.73,3801347
21-Jun-17,26.86,26.87,26.24,26.49,4477487
20-Jun-17,26.78,26.79,26.42,26.62,3611982
19-Jun-17,27.45,27.48,27.17,27.23,3833876
16-Jun-17,27.32,27.61,27.24,27.59,11045840
15-Jun-17,27.33,27.84,27.33,27.66,6443422
14-Jun-17,28.83,28.85,28.04,28.38,3759079
13-Jun-17,28.59,28.98,28.57,28.89,2734360
12-Jun-17,28.78,28.91,28.46,28.70,3479154
9-Jun-17,27.99,28.80,27.92,28.54,4033100
8-Jun-17,27.93,28.26,27.89,28.08,3185345
7-Jun-17,28.65,28.87,28.08,28.22,5060815
6-Jun-17,28.75,29.16,28.70,29.03,3396796
5-Jun-17,28.92,29.36,28.87,29.09,2005618
2-Jun-17,29.04,29.29,28.74,29.00,4164824
1-Jun-17,28.70,29.45,28.56,29.43,4547275
31-May-17,28.71,29.04,28.42,28.95,6150152
30-May-17,28.98,29.02,28.68,28.68,2873416
26-May-17,28.75,29.25,28.75,29.07,5737896
25-May-17,30.82,30.90,29.36,29.38,10470553
24-May-17,31.75,31.88,30.91,31.30,3769401
23-May-17,32.17,32.21,31.64,31.79,2850042
22-May-17,32.37,32.46,31.95,32.10,2327923
19-May-17,31.74,32.26,31.62,32.08,2992644
18-May-17,30.81,31.78,30.78,31.54,2569848
17-May-17,31.28,31.46,31.01,31.28,2950967
16-May-17,31.91,32.04,31.29,31.40,3191119
15-May-17,31.74,31.89,31.36,31.45,2994267
12-May-17,31.54,31.59,30.78,30.92,2164764
11-May-17,32.03,32.03,31.45,31.53,2356094
10-May-17,31.95,32.39,31.90,32.01,3271562
9-May-17,31.59,31.72,31.27,31.62,2131790
8-May-17,31.54,31.82,31.45,31.59,2472378
5-May-17,31.42,31.96,31.26,31.93,2218288
4-May-17,31.21,31.25,30.80,31.02,4083343
3-May-17,31.06,31.27,30.83,31.17,3762991
2-May-17,30.76,31.11,30.59,30.76,4555628
1-May-17,30.05,30.28,29.91,30.06,2147787
28-Apr-17,30.20,30.32,29.91,30.13,2858219
27-Apr-17,30.09,30.52,29.86,30.20,9622325
26-Apr-17,31.87,32.46,31.87,32.26,3000825
25-Apr-17,32.19,32.25,31.88,32.12,4705567
24-Apr-17,32.80,32.80,31.85,31.89,5049313
21-Apr-17,31.89,32.03,31.51,31.71,3553450
20-Apr-17,32.36,32.63,32.08,32.16,3187052
19-Apr-17,32.47,32.54,31.98,32.04,3214041
18-Apr-17,32.45,32.71,32.32,32.46,1985141
17-Apr-17,32.75,32.84,32.31,32.57,2449859
13-Apr-17,33.11,33.22,32.50,32.52,2038681
12-Apr-17,33.63,33.85,33.22,33.33,2779408
11-Apr-17,33.77,33.79,33.20,33.53,1908111
10-Apr-17,33.47,33.80,33.35,33.64,1635979
7-Apr-17,33.98,34.00,33.42,33.50,2160459
6-Apr-17,33.71,34.07,33.42,33.63,3453238
5-Apr-17,33.47,33.76,32.95,32.96,4227615
4-Apr-17,32.46,32.84,32.24,32.63,2522052
3-Apr-17,32.83,32.83,32.16,32.46,3370657
31-Mar-17,32.52,32.89,32.45,32.50,3176905
30-Mar-17,33.19,33.21,32.13,32.18,13628232
29-Mar-17,31.91,33.03,31.87,32.98,3215648
28-Mar-17,31.52,32.03,31.47,31.97,4154408
27-Mar-17,31.33,31.56,31.21,31.41,3408984
24-Mar-17,31.45,31.72,31.22,31.30,3166024
23-Mar-17,31.69,31.73,31.28,31.41,5421728
22-Mar-17,31.61,32.25,31.61,32.06,4573384
21-Mar-17,31.54,32.02,31.42,31.86,5572912
20-Mar-17,31.33,31.52,31.18,31.39,4672063
17-Mar-17,31.75,31.93,31.25,31.69,11683093
16-Mar-17,32.11,32.13,31.53,31.82,3102917
15-Mar-17,31.51,32.12,31.35,32.04,3430685
14-Mar-17,31.29,31.49,30.96,31.37,3116262
13-Mar-17,31.72,32.04,31.66,31.79,2516196
10-Mar-17,31.54,31.80,31.43,31.70,3279249
9-Mar-17,31.28,31.59,30.73,31.50,5913868
8-Mar-17,31.61,31.96,31.48,31.59,5051399
7-Mar-17,32.03,32.10,31.66,31.90,2615677
6-Mar-17,32.20,32.35,32.03,32.28,2303271
3-Mar-17,33.27,33.35,32.42,32.52,1844156
2-Mar-17,33.17,33.72,33.10,33.14,2669125
1-Mar-17,32.53,33.35,32.52,33.19,3061905
28-Feb-17,32.56,32.58,32.19,32.32,5773517
27-Feb-17,32.04,33.40,32.00,33.03,5143808
24-Feb-17,31.88,32.34,31.88,32.30,4322762
23-Feb-17,33.23,33.35,32.59,32.88,4382275
22-Feb-17,32.55,32.84,32.28,32.69,4301004
21-Feb-17,32.41,32.75,32.36,32.71,2839418
17-Feb-17,32.18,32.33,32.03,32.10,2275867
16-Feb-17,32.44,32.78,32.28,32.48,4144532
15-Feb-17,32.24,32.82,32.22,32.68,5785285
14-Feb-17,32.17,32.34,31.67,32.33,3555165
13-Feb-17,31.93,32.06,31.62,31.85,2764096
10-Feb-17,31.19,31.78,31.18,31.76,5283703
9-Feb-17,31.16,31.50,30.99,31.25,4592329
8-Feb-17,30.79,31.48,30.61,31.22,3921162
7-Feb-17,31.48,31.77,31.12,31.47,5801520
6-Feb-17,32.76,32.83,31.98,32.03,3830318
3-Feb-17,32.56,33.41,32.56,33.41,3489501
2-Feb-17,33.45,33.46,32.70,32.92,3096762
1-Feb-17,33.69,33.91,33.32,33.71,4302104
31-Jan-17,33.43,33.66,32.84,33.62,5311646
30-Jan-17,34.61,34.70,33.18,33.30,4577176
27-Jan-17,35.70,35.73,35.14,35.30,2923457
26-Jan-17,35.06,35.44,35.04,35.25,4287193
25-Jan-17,34.51,35.34,34.49,35.27,6108491
24-Jan-17,33.73,34.65,33.66,34.21,4182370
23-Jan-17,33.84,33.84,33.17,33.47,6883464
20-Jan-17,34.30,34.46,34.03,34.14,6782546
19-Jan-17,34.72,34.90,34.17,34.20,6208037
18-Jan-17,34.86,35.22,34.45,34.92,12650633
17-Jan-17,35.89,36.14,34.92,35.35,52984015

